種別,分類,動画での表示名,団体/チーム名,団体ID,配信日,大会名,元動画タイトル,URL,動画配信元,動画配信元URL,動画配信元ロゴURL
動画,マーチング団体等,神奈川県立湘南台高等学校吹奏楽部 White Shooting Stars,神奈川県立湘南台高等学校吹奏楽部 White Shooting Stars,o1k1vb1f,2025-03-23,2024 DCJ 30th ALL JAPAN CHAMPIONSHIPS 神奈川県立湘南台高等学校吹奏楽部 White Shooting Stars,,https://www.youtube.com/watch?v=wGDJA-8SU6w,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,SONIC LANCERS,SONIC LANCERS,o1ed2qxk,2025-03-22,2024 DCJ 30th ALL JAPAN CHAMPIONSHIPS SONIC LANCERS,,https://www.youtube.com/watch?v=oYimtRYuBbE,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,SENDAI Verdures,SENDAI Verdures,o126whaw,2025-03-21,2024 DCJ 30th ALL JAPAN CHAMPIONSHIPS  SENDAI Verdures,,https://www.youtube.com/watch?v=8_QVBgROq2E,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,Tokyo Phoenix,Tokyo Phoenix Drum&Bugle Corps,ofza5wl,2025-03-20,2024 DCJ 30th ALL JAPAN CHAMPIONSHIPS Tokyo Phoenix,,https://www.youtube.com/watch?v=1E-7YPBDO18,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,GENESIS,GENESIS,ooulsx2,2025-03-19,2024 DCJ 30th ALL JAPAN CHAMPIONSHIPS GENESIS,,https://www.youtube.com/watch?v=6ttpbUka1rA,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,THE YOKOHAMA SCOUTS,THE YOKOHAMA SCOUTS,oephwul,2025-03-18,2024 DCJ 30th ALL JAPAN CHAMPIONSHIPS THE YOKOHAMA SCOUTS,,https://www.youtube.com/watch?v=QmyqhRJL7Yg,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,横浜市立平安小学校マーチングバンド,横浜市立平安小学校マーチングバンド,o1j4wmu9,2023-02-23,2022 DCJ The28th ALL JAPAN CHAMPIONSHIPS 横浜市立平安小学校マーチングバンド,,https://www.youtube.com/watch?v=JfxhfzQ661E,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,横浜市立太尾小学校マーチングバンド,横浜市立太尾小学校マーチングバンド,o43ypd5,2023-02-20,2022 DCJ The28th ALL JAPAN CHAMPIONSHIPS 横浜市立太尾小学校マーチングバンド,,https://www.youtube.com/watch?v=nm2GsTHEFBc,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,Yokohama INSPIRES Alumni,Yokohama INSPIRES Alumni Drum&Bugle Corps,o1hw02ly,2023-02-17,2022 DCJ The28th ALL JAPAN CHAMPIONSHIPS Yokohama INSPIRES Alumni,,https://www.youtube.com/watch?v=4zd49P2z6qs,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
動画,マーチング団体等,Phoenix Regiment,東京実業高等学校Phoenix Regiment Drum&Bugle Corps,o1nlulwf,2023-02-03,2022 DCJ The28th ALL JAPAN CHAMPIONSHIPS Phoenix Regiment,,https://www.youtube.com/watch?v=HhiVmjIOcLI,DrumcorpsfunTV,https://www.youtube.com/@DrumcorpsfunTV,
